////////////////// KILLED UNITS DATA /////////////////////

Td  	ID  	Tj  	Df  	Dd  	Db
1931   	652   	696   	2   	1233   	1235
1931   	804   	838   	21   	1072   	1093
1932   	659   	701   	0   	1231   	1231
1932   	800   	837   	0   	1095   	1095
1933   	905   	950   	0   	983   	983
1933   	857   	908   	0   	1025   	1025
1934   	699   	731   	75   	1128   	1203
1934   	108   	148   	4   	1782   	1786
1935   	978   	1034   	0   	901   	901
1935   	956   	1009   	137   	789   	926
1936   	899   	942   	126   	868   	994
1937   	897   	942   	25   	970   	995
1937   	596   	615   	0   	1322   	1322
1938   	41   	42   	0   	1896   	1896
1938   	508   	517   	0   	1421   	1421
1939   	992   	1050   	18   	871   	889
1940   	216   	230   	0   	1710   	1710
1941   	898   	942   	1   	998   	999
1942   	393   	419   	0   	1523   	1523
1942   	89   	88   	0   	1854   	1854
1943   	949   	995   	13   	935   	948
1943   	569   	573   	81   	1289   	1370
1944   	854   	902   	0   	1042   	1042
1944   	160   	186   	0   	1758   	1758
1945   	14   	22   	6   	1917   	1923
1945   	636   	673   	0   	1272   	1272
1946   	378   	403   	0   	1543   	1543
1946   	150   	181   	123   	1642   	1765
1947   	705   	732   	0   	1215   	1215
1947   	553   	547   	25   	1375   	1400
1948   	206   	226   	0   	1722   	1722
1948   	374   	394   	4   	1550   	1554
1949   	810   	840   	0   	1109   	1109
1949   	343   	359   	0   	1590   	1590
1950   	155   	182   	12   	1756   	1768
1950   	820   	844   	0   	1106   	1106
1951   	658   	701   	13   	1237   	1250
1951   	310   	330   	902   	719   	1621
1952   	98   	136   	17   	1799   	1816
1952   	92   	124   	4   	1824   	1828
1953   	670   	708   	0   	1245   	1245
1953   	733   	760   	0   	1193   	1193
1954   	892   	938   	0   	1016   	1016
1954   	496   	509   	0   	1445   	1445
1955   	168   	191   	0   	1764   	1764
1955   	412   	431   	38   	1486   	1524
1956   	562   	557   	0   	1399   	1399
1956   	627   	662   	262   	1032   	1294
1957   	628   	662   	0   	1295   	1295
1957   	328   	346   	2   	1609   	1611
1958   	226   	239   	0   	1719   	1719
1958   	826   	875   	9   	1074   	1083
1959   	2541   	500   	57   	1402   	1459
1959   	760   	808   	0   	1151   	1151
1959   	780   	818   	12   	1129   	1141
1960   	2399   	361   	44   	1555   	1599
1960   	461   	475   	0   	1485   	1485
1960   	183   	216   	0   	1744   	1744
1961   	906   	971   	0   	990   	990
1961   	182   	216   	1015   	730   	1745
1962   	2286   	254   	28   	1680   	1708
1962   	273   	286   	3   	1673   	1676
1962   	383   	405   	0   	1557   	1557
1963   	693   	730   	503   	730   	1233
1963   	375   	394   	0   	1569   	1569
1964   	100   	136   	0   	1828   	1828
1964   	696   	731   	0   	1233   	1233
1965   	642   	676   	0   	1289   	1289
1965   	648   	682   	0   	1283   	1283
1966   	747   	786   	0   	1180   	1180
1966   	154   	182   	0   	1784   	1784
1967   	859   	908   	0   	1059   	1059
1967   	126   	173   	0   	1794   	1794
1968   	2686   	627   	77   	1264   	1341
1968   	96   	136   	0   	1832   	1832
1968   	300   	315   	0   	1653   	1653
1969   	803   	838   	12   	1119   	1131
1969   	509   	517   	0   	1452   	1452
1970   	924   	984   	6   	980   	986
1970   	719   	745   	2   	1223   	1225
1971   	353   	367   	0   	1604   	1604
1971   	745   	782   	0   	1189   	1189
1972   	548   	545   	4   	1423   	1427
1972   	715   	743   	0   	1229   	1229
1973   	406   	426   	16   	1531   	1547
1973   	539   	536   	4   	1433   	1437
1974   	426   	447   	0   	1527   	1527
1974   	438   	455   	0   	1519   	1519
1975   	525   	520   	0   	1455   	1455
1975   	197   	223   	1   	1751   	1752
1976   	884   	934   	0   	1042   	1042
1976   	530   	526   	614   	836   	1450
1977   	572   	575   	33   	1369   	1402
1977   	94   	124   	0   	1853   	1853
1978   	597   	615   	14   	1349   	1363
1978   	621   	659   	0   	1319   	1319
1979   	544   	541   	0   	1438   	1438
1979   	935   	987   	0   	992   	992
1980   	405   	425   	0   	1555   	1555
1980   	545   	541   	4   	1435   	1439
1981   	771   	812   	0   	1169   	1169
1981   	390   	416   	0   	1565   	1565
1982   	402   	425   	0   	1557   	1557
1982   	581   	578   	4   	1400   	1404
1983   	313   	338   	0   	1645   	1645
1983   	29   	38   	0   	1945   	1945
1984   	988   	1049   	1   	934   	935
1984   	962   	1021   	37   	926   	963
1985   	2291   	255   	29   	1701   	1730
1985   	452   	466   	31   	1488   	1519
1985   	825   	849   	58   	1078   	1136
